text,ground truth,CER,posterior probability,mean sequence probability,min sequence probability,mean sequence entropy,mean sequence probablity with latex check,probability variance,low confidence ratio,combined score
f(x)=[f(A)-f(1)]\cdotLx+f(1),f(x)=[f(A)-f(1)].Lx+f(1),0.041666666666666664,0.9673314094543457,0.9735550880432129,0.5258044600486755,0.06601328147171992,0.9735550880432129,0.008824566379189491,0.0,0.36301672262859724
\int_{\tau_{6}=\frac{t_{G}\rho}{\pi_{6}=}},\pi_0=\frac{tg\rho}{\pi},1.3076923076923077,0.7867197394371033,0.8310354948043823,0.1700887680053711,0.6473449361052189,0.8310354948043823,0.04829404130578041,0.06896551698446274,0.05968312008277282
O_{d}(I_{1x})\doteqO_{b}(I_{2t}),O_a(I_{1x})\stackrel{.}{\implies}O_b(I_{2t}),0.3793103448275862,0.9495503902435303,0.9592826962471008,0.4578283727169037,0.13964775514288139,0.9592826962471008,0.013602213934063911,0.03448275849223137,0.3209574247432415
"|\int_{f_1}^{r_2}[v(r,\psi+\omegat/\epsilon)-v_{0}(r)]d\tau|\le\frac{1}{2\ell}","|\int_{\tau_1}^{\tau_2}[v(r,\psi+\omega\tau/\epsilon)-v_0(r)]d\tau\parallel\le\frac{1}{2}\epsilon",0.17391304347826086,0.888701319694519,0.9087754487991333,0.354593425989151,0.33299017702610595,0.9087754487991333,0.026700226590037346,0.03999999910593033,0.22231410888802491
"\tau\in\zeta\langle\tilde{\tau},\tau_1\rangle","\tau\in\langle\tilde{\tau},\tau_1\rangle",0.08333333333333333,0.8943197131156921,0.9119008183479309,0.4542495608329773,0.3734149459688524,0.9119008183479309,0.02566780149936676,0.06666667014360428,0.2020610149229106
L_{0}=\{a^{n}|n\ge1\},L_0=\{a^n|n\ge1\},0.3076923076923077,0.9370594024658203,0.9527411460876465,0.4076801538467407,0.17093534960269277,0.9527411460876465,0.020163636654615402,0.05263157933950424,0.30219600272608066
\alpha(x)-\alpha\le\alpha(1-\delta)\frac{loglog.x}{logx}(x\gex_0),\alpha(x)-\alpha\le\alpha(1-\delta)\frac{\log\logx}{\logx}(x\gex_0),0.1111111111111111,0.9343794584274292,0.9516580104827881,0.32281094789505005,0.20124649768133338,0.9516580104827881,0.020352646708488464,0.05128205195069313,0.28990819473044327
r\ger_0,r\ger_0,0.0,0.9436149597167969,0.948432207107544,0.739851176738739,0.18640162774499913,0.948432207107544,0.009471902623772621,0.0,0.304812231745018
=\frac{1}{2b}\sqrt{16s(s-a)(s-b)(s-c)},"=\frac{1}{2b}\sqrt{16s(s-a)(s-b)(s-c)},",0.03225806451612903,0.9918850660324097,0.9921557903289795,0.8776969909667969,0.06270844937055649,0.9921557903289795,0.000516860221978277,0.0,0.37177893638336923
tin\beta=b_{i2}\frac{i}{a}) \teos\omega=\frac{1}{25}text{a}=1^{a}(a):0) \cos=\frac{7}{2a},\sin\beta=\frac{4}{9};d) \cos\alpha=\frac{18}{25}\operatorname{tg}\beta=1\frac{5}{9};e) \cos\alpha=\frac{7}{24} \cos\beta=\frac{35}{38},0.5769230769230769,0.6111485958099365,0.6821966171264648,0.16945254802703857,1.5041681041483985,0.6821966171264648,0.07665756344795227,0.30882352590560913,-0.39055329998989535
")m=5,n=3,h=30_{1},s=12,r=20.","m=5,n=3,h=30,s=12,r=20.",0.21739130434782608,0.918806254863739,0.9465122222900391,0.18312972784042358,0.32682574093763606,0.9465122222900391,0.023388350382447243,0.03333333507180214,0.24120792552660078
tg2a=\frac{2a_{12}}{a_{11}-a_{22}}.,\tan2a=\frac{2a_{12}}{a_{11}-a_{22}}.,0.09090909090909091,0.9374310374259949,0.9481247663497925,0.397251695394516,0.17806457273378107,0.9481247663497925,0.014015928842127323,0.03030303120613098,0.3019634712051784
|(I-S_{ry}S_{yu})^{-1}S_{ry}||_{M}<\frac{1}{v_{2}(p)},\parallel(I-S_{ry}S_{yu})^{-1}S_{ry}\parallel_M<\frac{1}{v_2(p)},0.1590909090909091,0.9760803580284119,0.9782565832138062,0.6691530346870422,0.07743058391486381,0.9782565832138062,0.0036340663209557533,0.0,0.360330399719577
B^{0}=\frac{h_{n}}{h\prime\prime_{n}}-1=\frac{h\prime\prime\prime_{n}}{h\prime\prime_{n}},B^0=\frac{h_n}{h\prime\prime_n}-1=\frac{h\prime\prime\prime_n}{h\prime\prime_n},0.2777777777777778,0.9543938040733337,0.9587737917900085,0.6409860849380493,0.14221779283061645,0.9587737917900085,0.007244030013680458,0.0,0.32662239958375683
"\int_{\mathbf{R}}\omegaz_{k}^{2}dv(z_{1},z_{2},\dots)<\infty","\int_{\mathbf{R}^\infty}z_k^2dv(z_1,z_2,\dots)<\infty",0.36666666666666664,0.9305607080459595,0.9387835264205933,0.5698749423027039,0.24168790773826634,0.9387835264205933,0.012886025942862034,0.0,0.2788382474729308
"\langle\mathcal{T}\delta(u,v);\delta(u,v))=-\sum_{n}\sum_{n=r}\sum_{r}\Sigma\delta(n-1)\delta(n,q)S(n+p,m-q)=","\langle\overline{T}\delta(u,v);\delta(u,v)\rangle=\sum_n\sum_m\sum_p\sum_q\delta(n-1,m-1)\delta(p,q)S(n+p,m-q)=",0.3220338983050847,0.8646868467330933,0.8936305046081543,0.21442335844039917,0.41012693502446407,0.8936305046081543,0.03352601081132889,0.0625,0.18090142783347612
