text,ground truth,CER,posterior probability,mean sequence probability,min sequence probability,mean sequence entropy,mean sequence probablity with latex check,probability variance,low confidence ratio,combined score
f(x)=[f(A)-f(1)]\cdotLx+f(1),f(x)=[f(A)-f(1)].Lx+f(1),0.041666666666666664,0.9555017352104187,0.966862142086029,0.4076290726661682,0.10413316510111818,0.966862142086029,0.01410346943885088,0.03846153989434242,0.33739928281509585
\int_{\tau_{6}=\frac{t_{G}\rho}{\pi_{6}=\frac{tg}{\pi}}},\pi_0=\frac{tg\rho}{\pi},1.9230769230769231,0.800554096698761,0.8424761891365051,0.14403271675109863,0.6022322874056487,0.8424761891365051,0.044220805168151855,0.0810810849070549,0.07988134371093156
O_{d}(I_{1x})\impliesO_{b}(I_{2t}),O_a(I_{1x})\stackrel{.}{\implies}O_b(I_{2t}),0.3793103448275862,0.9467902183532715,0.9564674496650696,0.4691791236400604,0.1498607183005741,0.9564674496650696,0.013814819976687431,0.03448275849223137,0.3157461408473519
"|\int_{f_1}^{r_2}[v(r,\psi+\omegat/\epsilon)-v_{0}(r)]d\tau|\le\frac{1}{2\ell}","|\int_{\tau_1}^{\tau_2}[v(r,\psi+\omega\tau/\epsilon)-v_0(r)]d\tau\parallel\le\frac{1}{2}\epsilon",0.17391304347826086,0.9040239453315735,0.9188032150268555,0.4292510449886322,0.30022349007170607,0.9188032150268555,0.02065238170325756,0.03999999910593033,0.23943189016087368
"\tau\in\langle\tilde{\tau},\tau_1\rangle","\tau\in\langle\tilde{\tau},\tau_1\rangle",0.0,0.8810357451438904,0.9067585468292236,0.3929333984851837,0.3835523194458195,0.9067585468292236,0.03460836410522461,0.0714285746216774,0.19499677602902618
L_0=\{a^{n}|n\ge1\},L_0=\{a^n|n\ge1\},0.15384615384615385,0.933474063873291,0.9434458613395691,0.5790272951126099,0.1826177898992772,0.9434458613395691,0.01579233445227146,0.0,0.3043312285761167
\alpha(x)-\alpha\le\alpha(1-\delta)\frac{loglog.x}{logx}(x\gex_0),\alpha(x)-\alpha\le\alpha(1-\delta)\frac{\log\logx}{\logx}(x\gex_0),0.1111111111111111,0.9338529109954834,0.9507718086242676,0.2966558337211609,0.1968351807182785,0.9507718086242676,0.019801273941993713,0.025641025975346565,0.2964464459673264
r\ger_0,r\ger_0,0.0,0.9522932767868042,0.9556882977485657,0.7774714827537537,0.17436234924672236,0.9556882977485657,0.006855004001408815,0.0,0.31253037940073736
=\frac{1}{2b}\sqrt{16s(s-a)(s-b)(s-c)},"=\frac{1}{2b}\sqrt{16s(s-a)(s-b)(s-c)},",0.03225806451612903,0.9940627813339233,0.9941641688346863,0.9261236190795898,0.030847881494714853,0.9941641688346863,0.0001994868362089619,0.0,0.38532651493598863
"tin\beta=b_2\frac{1}{2},d) \eos\omega=\frac{1}{25},4g=1^{n}i;o) \cos=\frac{7}{24}",\sin\beta=\frac{4}{9};d) \cos\alpha=\frac{18}{25}\operatorname{tg}\beta=1\frac{5}{9};e) \cos\alpha=\frac{7}{24} \cos\beta=\frac{35}{38},0.48717948717948717,0.71476811170578,0.7643842697143555,0.14334900677204132,1.0805601111547867,0.7643842697143555,0.055963702499866486,0.15000000596046448,-0.1564703377682654
")u=5,n=3,h=30,\dotss=12,r=20.","m=5,n=3,h=30,s=12,r=20.",0.13043478260869565,0.8813206553459167,0.9240990877151489,0.15595632791519165,0.36813772392460953,0.9240990877151489,0.03780695050954819,0.07407407462596893,0.20756973059102196
tg2a=\frac{2a_12}{a_{11}-a_{22}}.,\tan2a=\frac{2a_{12}}{a_{11}-a_{22}}.,0.15151515151515152,0.8973891139030457,0.9186221361160278,0.3203023672103882,0.15985702188599163,0.9186221361160278,0.026610029861330986,0.032258063554763794,0.29705443298106177
|(I-S_{ry}S_{yu})^{-1}S_{ry}||_{M}<\frac{1}{v_{2}(p)},\parallel(I-S_{ry}S_{yu})^{-1}S_{ry}\parallel_M<\frac{1}{v_2(p)},0.1590909090909091,0.9756731390953064,0.9775532484054565,0.6751390695571899,0.08471416075000403,0.9775532484054565,0.003156955586746335,0.0,0.35713563506218104
B^{0}=\frac{h_{n}}{h\prime_{n}}-1=\frac{h\prime\prime\prime_{n}}{h\prime_{n}},B^0=\frac{h_n}{h\prime\prime_n}-1=\frac{h\prime\prime\prime_n}{h\prime\prime_n},0.3333333333333333,0.9452518820762634,0.9537779688835144,0.4114285707473755,0.16148271267691902,0.9537779688835144,0.011535847559571266,0.021739130839705467,0.3125702763146971
"\int_{\mathbf{R}}\omegaz_{k}^{2}dv(z_{1},z_{2},\dots)<\infty","\int_{\mathbf{R}^\infty}z_k^2dv(z_1,z_2,\dots)<\infty",0.36666666666666664,0.9388051629066467,0.9454092383384705,0.5611642599105835,0.2313318993363177,0.9454092383384705,0.010513104498386383,0.0,0.2856309356008611
