text,ground truth,CER,posterior probability,mean sequence probability,min sequence probability,mean sequence entropy,mean sequence probablity with latex check,probability variance,low confidence ratio,combined score
f(x)=[f(A)-f(1)]\cdotLx+f(1),f(x)=[f(A)-f(1)].Lx+f(1),0.041666666666666664,0.9756754040718079,0.978054404258728,0.7077779173851013,0.07342721387297403,0.978054404258728,0.004103800747543573,0.0,0.3618508761543016
\int_{\tau_{0}=\frac{t_{G}\rho}{\pi_{0}=\frac{tg\rho}{\pi}}},\pi_0=\frac{tg\rho}{\pi},1.7692307692307692,0.7933735251426697,0.837925136089325,0.16905565559864044,0.6066215611153427,0.837925136089325,0.048285096883773804,0.10526315867900848,0.0714687982537912
O_{d}(I_{1x})\impliesO_{b}(I_{2t}),O_a(I_{1x})\stackrel{.}{\implies}O_b(I_{2t}),0.3793103448275862,0.94179368019104,0.9526937007904053,0.44228336215019226,0.15865727469369223,0.9526937007904053,0.015250327065587044,0.03448275849223137,0.31071801874023897
"|\int_{f_1}^{r_2}[v(r,\psi+\omegat/\epsilon)-v_{0}(r)]d\tau|\le\frac{1}{2\ell}","|\int_{\tau_1}^{\tau_2}[v(r,\psi+\omega\tau/\epsilon)-v_0(r)]d\tau\parallel\le\frac{1}{2}\epsilon",0.17391304347826086,0.9092440605163574,0.9200190305709839,0.43815016746520996,0.2998509588770993,0.9200190305709839,0.015838084742426872,0.019999999552965164,0.24406722876696083
"\tau\in\langle\tilde{\tau},\tau_1\rangle","\tau\in\langle\tilde{\tau},\tau_1\rangle",0.0,0.8814724683761597,0.9079843163490295,0.3615764379501343,0.3016843295824497,0.9079843163490295,0.03405464440584183,0.0714285746216774,0.22823427978229652
L_0=\{a^{\prime\prime}|n\ge1\},L_0=\{a^n|n\ge1\},0.3076923076923077,0.9262750148773193,0.9384730458259583,0.5247162580490112,0.20727821082679188,0.9384730458259583,0.01832205057144165,0.0,0.29247793399966654
\alpha(x)-\alpha\le\alpha(1-\delta)\frac{loglog.x}{logx}(x\gex_0),\alpha(x)-\alpha\le\alpha(1-\delta)\frac{\log\logx}{\logx}(x\gex_0),0.1111111111111111,0.9217682480812073,0.945627748966217,0.24345985054969788,0.2122231920843703,0.945627748966217,0.025101637467741966,0.05128205195069313,0.28310541236260006
r\ger_0,r\ger_0,0.0,0.9618248343467712,0.9633579850196838,0.8734200596809387,0.15830929991352605,0.9633579850196838,0.003321500727906823,0.0,0.3220194740424631
=\frac{1}{2b}\sqrt{16s(s-a)(s-b)(s-c)},"=\frac{1}{2b}\sqrt{16s(s-a)(s-b)(s-c)},",0.03225806451612903,0.9920632839202881,0.9921900033950806,0.934285581111908,0.04093747215471515,0.9921900033950806,0.00025158229982480407,0.0,0.3805010124961462
"tin\beta=b_{i2}\frac{i}{2},d) \eosa=\frac{1}{26},4g=1^{n}i;o) \cos=\frac{7}{24}",\sin\beta=\frac{4}{9};d) \cos\alpha=\frac{18}{25}\operatorname{tg}\beta=1\frac{5}{9};e) \cos\alpha=\frac{7}{24} \cos\beta=\frac{35}{38},0.5384615384615384,0.6612327098846436,0.7193491458892822,0.15876732766628265,1.4328040191195317,0.7193491458892822,0.06503581255674362,0.2380952537059784,-0.33300100003329547
")m=5,n=3,h=30_{1},s=12,r=20.","m=5,n=3,h=30,s=12,r=20.",0.21739130434782608,0.8971818089485168,0.924681544303894,0.19411665201187134,0.39552855152125327,0.924681544303894,0.02576562948524952,0.03333333507180214,0.20499453009869592
tg2a=\frac{2a_{12}}{a_{11}-a_{22}}.,\tan2a=\frac{2a_{12}}{a_{11}-a_{22}}.,0.09090909090909091,0.9378186464309692,0.9460970759391785,0.5428730249404907,0.16973587829323317,0.9460970759391785,0.012793011963367462,0.0,0.3105444790583781
|(I-S_{ry}S_{yu})^{-1}S_{ry}||_{M}<\frac{1}{v_{2}(p)},\parallel(I-S_{ry}S_{yu})^{-1}S_{ry}\parallel_M<\frac{1}{v_2(p)},0.1590909090909091,0.9736970663070679,0.9756230711936951,0.6680788993835449,0.09712027852928501,0.9756230711936951,0.003235253971070051,0.0,0.35140111706576405
B^{0}=\frac{h_{n}}{h\prime_{n}}-1=\frac{h\prime\prime\prime_{n}}{h\prime_{n}},B^0=\frac{h_n}{h\prime\prime_n}-1=\frac{h\prime\prime\prime_n}{h\prime\prime_n},0.3333333333333333,0.9334889650344849,0.9436013698577881,0.39317095279693604,0.21666167375824055,0.9436013698577881,0.013882615603506565,0.021739130839705467,0.28642805227187795
"\int_{\mathbf{R}}\omegaz_{k}^{2}dv(z_{1},z_{2},\dots)<\infty","\int_{\mathbf{R}^\infty}z_k^2dv(z_1,z_2,\dots)<\infty",0.36666666666666664,0.9332211017608643,0.9405480623245239,0.507910430431366,0.25681157303892505,0.9405480623245239,0.01107715256512165,0.0,0.27349459571423956
"\langle\mathcal{T}\delta(u,v);\delta(u,v))=\sum_{n}\sum_{n=r}\sum_{r}\Sigma\delta(n-1)\delta(n,q)S(n+p,m-q)=","\langle\overline{T}\delta(u,v);\delta(u,v)\rangle=\sum_n\sum_m\sum_p\sum_q\delta(n-1,m-1)\delta(p,q)S(n+p,m-q)=",0.3050847457627119,0.8695059418678284,0.897526204586029,0.24513347446918488,0.48789975329156676,0.897526204586029,0.03183421492576599,0.0476190522313118,0.15432677007152257
"\beta:=(\lambda,\phi_{1},\dots,\phi_{p})^{\Gamma}","\beta:=(\lambda,\phi_1,\dots,\phi_p)^T",0.3888888888888889,0.9276696443557739,0.9419947862625122,0.4968353509902954,0.19656845048763655,0.9419947862625122,0.020580502226948738,0.03846153989434242,0.2904782263310818
+b_{1}t_{1}+b_{2}ttt_{1}+b_{3}t^{2}t_{1}+b_{4}ttt_{1}+\dots,+b_1t_1+b_2tt_1+b_3t^2t_1+b_4t^3t_1+\dots,0.5675675675675675,0.9450114369392395,0.9603903889656067,0.25123539566993713,0.1071030323957906,0.9603903889656067,0.01649289019405842,0.035087719559669495,0.3342973987159926
Xaop=2\alpha_3,\sphericalangleaop=2\alpha_3,0.6521739130434783,0.8607968688011169,0.8817668557167053,0.42701447010040283,0.3654838038041796,0.8817668557167053,0.02964971400797367,0.09090909361839294,0.18833140204133172
\Gamma(s)=\Gamma_S(s)+\Gamma_{NS}(s)=0,\mathbf{f}(s)=\mathbf{f}_S(s)+\mathbf{f}_{NS}(s)=\mathbf{0},0.42857142857142855,0.9152876138687134,0.9298295974731445,0.5681139230728149,0.18785684950012127,0.9298295974731445,0.022381089627742767,0.0,0.29678909918920937
v_{2}=-\frac{0.19}{lg\frac{z_{3}}{l_{1}}}\frac{l_{2}z_{0}}{l-\frac{l_{1}z_{0}}{l_{0}z_{1}^{2}}\frac{H}{l_{1}}}.,"v*=-\frac{0,19}{\mathrm{lg}\frac{z_0}{H}}\frac{u_2}{1-\frac{0,26}{\mathrm{lg}\frac{z_0}{H}}\frac{H}{L}},",0.7058823529411765,0.7914748191833496,0.8337425589561462,0.21881261467933655,0.7641989525786637,0.0,0.05032455921173096,0.12903225421905518,0.0
"\delta_1=\frac{V_1}{\delta_1}=\frac{15}{1000}=0,015","\check{s}_1=\frac{V_1}{\check{s}_1}=\frac{15}{1000}=0,015",0.20512820512820512,0.96661776304245,0.9733505249023438,0.46583685278892517,0.07119407269436806,0.9733505249023438,0.009030873887240887,0.02857142873108387,0.35514829513697355
"k=1,2,\dots,n","k=1,2,\dots,n",0.0,0.9991186261177063,0.9991191625595093,0.9969010949134827,0.008533147091857141,0.9991191625595093,9.129788054451637e-07,0.0,0.39623440618706085
G_{ikh}^{i}=\hat{o}_{h}\hat{G}_{ik}^{i}=\hat{\partial}_{h}\hat{\partial}_{k}\hat{G}_{i}^{i}=\hat{G}_{i}^{i}=\dot{\partial}_{h}\hat{\partial}_{k}\hat{G}_{k}^{f}\dot{\partial}_{k}\hat{G}_{i},\hat{G}_{ikh}^{i}\stackrel{\mathrm{def}}{=}\dot{\partial}_{h}\hat{G}_{ik}^{i}\stackrel{\mathrm{def}}{=}\dot{\partial}_{h}\dot{\partial}_{k}\hat{G}_{i}^{i}\stackrel{\mathrm{def}}{=}\dot{\partial}_{h}\dot{\partial}_{k}\dot{\partial}_{i}\hat{G,0.4444444444444444,0.8934258222579956,0.9139040112495422,0.27107617259025574,0.3204954821129908,0.9139040112495422,0.025836819782853127,0.049180325120687485,0.22752734663048307
"p_{i}(X)=\sum_{r=1}^{k}\frac{\sigmaa^{n}}{\partialy^{n}\dots\partialy^{\alpha}}H_{i}^{\alpha_{i}\dots\beta_{k}}\frac{\partial}{\partialy^{\eta_{i,\dotsk}}}f_{i.\dotsk}fork\ge1,","p_k(X)=\sum_{r=1}^k\frac{\partial^ra^n}{\partialy^{\alpha_1}\dots\partialy^{\alpha_r}}H_{i_1\dotsi_k}^{\alpha_1\dots\alpha_r}\frac{\partial}{\partialy_{i_1\dotsi_k}^\eta} \text{for}k\ge1,",0.45454545454545453,0.8189896941184998,0.8593360185623169,0.16698628664016724,0.5623000845417616,0.8593360185623169,0.045385658740997314,0.09090909361839294,0.10063255488454352
"k=0,1;\phi^{(4)}(0,0)=\phi^{(4)}(\pi,0)=0,\epsilon\ge0","k=0,1;\phi^{(4)}(0,0)=\phi^{(4)}(\pi,0)=0,\epsilon\ge0",0.0,0.9965632557868958,0.996593177318573,0.9617347717285156,0.022657000083626873,0.996593177318573,5.977946420898661e-05,0.0,0.3895744708939785
\delta\frac{\sigma}{h}(\alpha+\betax+\delta\betah)\ge0,\delta\frac{\tau}{h}(\alpha+\betax+\delta\betah)\ge0,0.05,0.9852017164230347,0.9857361912727356,0.8929888606071472,0.06933237189357234,0.9857361912727356,0.0010482827201485634,0.0,0.36656152775166534
t>s,t>s,0.0,0.9784419536590576,0.9787223935127258,0.9437205195426941,0.11264370839037383,0.9787223935127258,0.0006790602346882224,0.0,0.3464314740489408
"R(s,t)=\frac{lim}{b,b\prime,t\rightarrow\infty}\int_{a}^{b}\int_{a}^{b}f(s,\lambda)\overline{f(t,\mu)}ddF(\lambda,\mu)","R(s,t)=\lim_{ \substack{a,a\prime\rightarrow-\infty\\b,b\prime\rightarrow+\infty}}\int_{a}^{b}\int_{a\prime}^{b\prime}f(s,\lambda)\overline{f(t,\mu)} \text{dd}F(\lambda,\mu)",0.3707865168539326,0.8248975276947021,0.874836266040802,0.10349015146493912,0.6363993166110015,0.874836266040802,0.04404330253601074,0.06060606241226196,0.08325356728946788
"u_i=(K_1_i,K_2i)\tilde{V}_i","u_i=(K_{1i},K_{2i})\tilde{y}_i",0.24,0.9219229817390442,0.9280132055282593,0.6937495470046997,0.2732392159258905,0.9280132055282593,0.01062930840998888,0.0,0.26190959584094753
u=Ce^{-bt} \sin(co_1t+\gamma),u=Ce^{-bt} \sin(\omega_1t+\gamma),0.09090909090909091,0.9565785527229309,0.9608896970748901,0.6518120765686035,0.14682734208653073,0.9608896970748901,0.007155898492783308,0.0,0.3256249419953438
n=0.5,u=0.5,0.2,0.8958189487457275,0.9203961491584778,0.4815411865711212,0.19862156275771017,0.9203961491584778,0.037597764283418655,0.1428571492433548,0.2601384047116361
(P_{cm})_{ij}=-p\delta_{ij}+\mu_{sm}(\Deltav_{sm})_{i}+\mu_{vm2}\Thetav_{sm}\delta_{i},(P_{sm})_{ij}=-p\delta_{ij}+\mu_{sm}(\Deltav_{sm})_{ij}+\mu_{sm2}\Thetav_{sm}\delta_{ij},0.0625,0.9690127372741699,0.9745763540267944,0.41671961545944214,0.10124870226043914,0.9745763540267944,0.00729873264208436,0.015625,0.34620606070654214
\beta\prime_2=\sigma^{-2}\beta_2+\sigma^{-1}\chi_{t=2n+1}\gamma_{1}^{i}c_{t}^{2n},\beta_2\prime=\sigma^{-2}\beta_2+\sigma^{-1}\sum_{t=2n+1}^{i}\gamma_1^tc_t^{2n},0.2708333333333333,0.9484351873397827,0.9573229551315308,0.40411725640296936,0.1716200502159865,0.9573229551315308,0.011904188431799412,0.01923076994717121,0.31043500797678353
\rho^{N}=(\rho_{AA}\cup\rho_{BA}\cup\rho_{BB})^{w},\rho^w=(\rho_{AA}\cup\rho_{BA}\cup\rho_{BB})^w,0.17857142857142858,0.9327794313430786,0.9429744482040405,0.4740590751171112,0.2339816963064737,0.9429744482040405,0.014907322824001312,0.029411764815449715,0.27771474779593686
