text,ground truth,CER,posterior probability,mean sequence probability,min sequence probability,mean sequence entropy,mean sequence probablity with latex check,probability variance,low confidence ratio,combined score
f(x)=[f(A)-f(1)]\cdotLx+f(1),f(x)=[f(A)-f(1)].Lx+f(1),0.041666666666666664,0.961008608341217,0.9694410562515259,0.46991100907325745,0.10169897784203581,0.9694410562515259,0.011317472904920578,0.03846153989434242,0.3394045233849276
\int_{\tau_{6}=\frac{tg\rho}{\pi_{6}=}},\pi_0=\frac{tg\rho}{\pi},1.0,0.8122023940086365,0.861150860786438,0.1221146285533905,0.6399148435110312,0.861150860786438,0.04420199990272522,0.07692307978868484,0.07310979095242578
O_{d}(I_{1x})\doteqO_{b}(I_{2t}),O_a(I_{1x})\stackrel{.}{\implies}O_b(I_{2t}),0.3793103448275862,0.9593376517295837,0.9658598303794861,0.5589197874069214,0.12484372846565434,0.9658598303794861,0.009892403148114681,0.0,0.3364064407655327
"|\int_{f_1}^{r_2}[v(r,\psi+\omegat/\epsilon)-v_{0}(r)]d\tau|\le\frac{1}{2\ell}","|\int_{\tau_1}^{\tau_2}[v(r,\psi+\omega\tau/\epsilon)-v_0(r)]d\tau\parallel\le\frac{1}{2}\epsilon",0.17391304347826086,0.9132323861122131,0.925390899181366,0.4597940444946289,0.24588690257728468,0.925390899181366,0.017848366871476173,0.019999999552965164,0.2678015987310395
"\tau\in\langle\tilde{\tau},\tau_1\rangle","\tau\in\langle\tilde{\tau},\tau_1\rangle",0.0,0.907362699508667,0.921528160572052,0.5774854421615601,0.2625253565102563,0.921528160572052,0.022214846685528755,0.0,0.2636011216247183
L_{0}=\{a^{n}|n\ge1\},L_0=\{a^n|n\ge1\},0.3076923076923077,0.9401841759681702,0.9527413249015808,0.4844512641429901,0.11408751641542904,0.9527413249015808,0.018046094104647636,0.05263157933950424,0.3249352075265599
\alpha(x)-\alpha\le\alpha(1-\delta)\frac{loglog.x}{logx}(x\gex_0),\alpha(x)-\alpha\le\alpha(1-\delta)\frac{\log\logx}{\logx}(x\gex_0),0.1111111111111111,0.9350108504295349,0.9562630653381348,0.20359425246715546,0.2144232780385565,0.9562630653381348,0.019847365096211433,0.025641025975346565,0.2916077097247621
r\ger_{0},r\ger_0,0.4,0.9120680093765259,0.9300218224525452,0.50069260597229,0.1740823397840485,0.9300218224525452,0.0270779337733984,0.0,0.3023757930673987
=\frac{1}{2b}\sqrt{16s(s-a)(s-b)(s-c)},"=\frac{1}{2b}\sqrt{16s(s-a)(s-b)(s-c)},",0.03225806451612903,0.9956315755844116,0.9956721663475037,0.9562182426452637,0.025129608624291224,0.9956721663475037,8.123800944304094e-05,0.0,0.388217023089285
"tin\beta=v_{(2)},d\rangle \eos\omega=\frac{18}{25},\phi=1v_{4};\omega) \cos\omega=\frac{7}{24}",\sin\beta=\frac{4}{9};d) \cos\alpha=\frac{18}{25}\operatorname{tg}\beta=1\frac{5}{9};e) \cos\alpha=\frac{7}{24} \cos\beta=\frac{35}{38},0.5128205128205128,0.7168747782707214,0.7704046964645386,0.21820156276226044,1.0376455672846434,0.7704046964645386,0.062111444771289825,0.18965516984462738,-0.14482738229696743
")m=5,n=3,h=30_{1},s=12,r=20.","m=5,n=3,h=30,s=12,r=20.",0.21739130434782608,0.9154765009880066,0.9492147564888,0.14319470524787903,0.2844944196399471,0.9492147564888,0.02504531852900982,0.03333333507180214,0.2592214677251808
